Localidade\UF,CEP
Abadia dos Dourados/MG,38540-000
Rio Paranaíba/MG,38812-000
Abre Campo/MG,35365-000
Acaiaca/MG,35438-000
Itabirito/MG,35458-000
Botumirim/MG,39597-000
Água Boa/MG,39790-000
Comercinho/MG,39629-000
Água Comprida/MG,38110-000
Tombos/MG,36845-000
Aguanil/MG,37273-000
Mariana/MG,35429-100
Conceição do Rio Verde/MG,37435-000
São Pedro dos Ferros/MG,35362-000
Águas Formosas/MG,39880-000
Águas Vermelhas/MG,39990-000
Aiuruoca/MG,37450-000
Alagoa/MG,37458-000
Albertina/MG,37596-000
Coromandel/MG,38560-000
Simonésia/MG,36935-000
Iturama/MG,38282-000
Almenara/MG,39900-000
Alpinópolis/MG,37940-000
Alterosa/MG,37145-000
Bocaiúva/MG,39394-000
Alto Caparaó/MG,36979-000
Alto Jequitibá/MG,36976-000
Tapiraí/MG,38985-000
Coração de Jesus/MG,39347-000
Carangola/MG,36807-000
Mariana/MG,35428-400
Alvorada de Minas/MG,39140-000
Araguari/MG,38455-000
Ouro Preto/MG,35412-000
Amparo da Serra/MG,35444-000
Andradas/MG,37795-000
Andrelândia/MG,37300-000
Três Marias/MG,39207-000
Angelândia/MG,39685-000
Brasília de Minas/MG,39332-000
Franciscópolis/MG,39697-000
Ouro Preto/MG,35411-000
Antônio Prado de Minas/MG,36850-000
Frutal/MG,38208-300
Montes Claros/MG,39429-100
Pedra Azul/MG,39976-000
Araçuaí/MG,39600-000
Brumadinho/MG,35462-000
Arantina/MG,37360-000
Araporã/MG,38465-000
Arapuá/MG,38860-000
Guapé/MG,37180-000
Arceburgo/MG,37820-000
Areado/MG,37140-000
Ibiá/MG,38955-000
Aricanduva/MG,39678-000
Arinos/MG,38680-000
Coração de Jesus/MG,39341-000
Pocrane/MG,36966-000
Astolfo Dutra/MG,36780-000
Ataléia/MG,39850-000
Augusto de Lima/MG,39219-000
Jacinto/MG,39931-000
Delfinópolis/MG,37915-000
Itabirito/MG,35459-000
Baependi/MG,37443-000
Uberaba/MG,38101-000
Minas Novas/MG,39652-000
Bertópolis/MG,39877-000
Bambuí/MG,38900-000
Bandeira/MG,39917-000
Bandeira do Sul/MG,37740-000
Mariana/MG,35428-600
Barão de Monte Alto/MG,36870-000
Pocrane/MG,36963-000
Barra Longa/MG,35447-000
Alfenas/MG,37139-200
Catuti/MG,39526-700
Janaúba/MG,39449-300
Mariana/MG,35429-500
Mariana/MG,35429-600
Grão Mogol/MG,39572-000
Muriaé/MG,36892-200
Teófilo Otoni/MG,39806-000
Belo Vale/MG,35473-000
Corinto/MG,39203-000
Mariana/MG,35428-100
Ubaí/MG,39325-000
Berilo/MG,39640-000
Berizal/MG,39555-000
Bertópolis/MG,39875-000
Raul Soares/MG,35352-000
Jeceaba/MG,35497-000
Boa Esperança/MG,37170-000
Frutal/MG,38208-700
Muriaé/MG,36892-100
Nova Serrana/MG,35529-000
Unaí/MG,38621-000
Bocaina de Minas/MG,37340-000
